// domain: security
// title: Application Security, Supply Chain, Cloud Security, IAM and AI Security
// format: owner/repo | tags | why it matters

OWASP/CheatSheetSeries | appsec,reference,owasp | The single densest appsec reference
OWASP/ASVS | standards,verification,requirements | Verification requirements to hold designs against
OWASP/Top10 | appsec,risks,awareness | The risk list every enterprise review cites
OWASP/wstg | testing,methodology,web | Web security testing methodology
OWASP/API-Security | api,risks,owasp | API-specific top ten
OWASP/www-project-proactive-controls | appsec,controls,guidance | What to build, not just what to avoid
OWASP/threat-dragon | threat-modeling,tooling,diagrams | Threat modelling tool
jeremylong/DependencyCheck | sca,dependencies,scanning | Dependency vulnerability scanning
DependencyTrack/dependency-track | sbom,supply-chain,platform | Continuous SBOM analysis
OWASP/Nettacker | scanning,network,recon | Automated network reconnaissance
zaproxy/zaproxy | dast,scanning,web | The open DAST scanner
sqlmapproject/sqlmap | testing,sqli,offensive | SQL injection testing
aquasecurity/trivy | scanning,containers,iac | The default all-in-one scanner
anchore/grype | scanning,vulnerabilities,containers | Container and filesystem vulnerability scanning
anchore/syft | sbom,inventory,containers | SBOM generation
CycloneDX/specification | sbom,standard,supply-chain | The CycloneDX SBOM standard
spdx/spdx-spec | sbom,standard,licensing | The SPDX standard
sigstore/cosign | signing,supply-chain,containers | Sign and verify artifacts
sigstore/sigstore | signing,transparency,keyless | Keyless signing infrastructure
slsa-framework/slsa | supply-chain,levels,framework | Build integrity levels
in-toto/in-toto | supply-chain,attestation,provenance | Attest each step of the pipeline
ossf/scorecard | supply-chain,risk,automation | Score dependency projects automatically
ossf/allstar | policy,github,enforcement | Enforce repo security policy continuously
github/codeql | sast,queries,semantic | Semantic code analysis; write custom queries
returntocorp/semgrep | sast,rules,fast | Fast pattern-based static analysis
semgrep/semgrep-rules | sast,rules,corpus | The community rule corpus
PyCQA/bandit | sast,python,security | Python security linting
gitleaks/gitleaks | secrets,scanning,git | Secret detection in history
trufflesecurity/trufflehog | secrets,verification,scanning | Secret scanning that verifies liveness
Yelp/detect-secrets | secrets,baseline,precommit | Baseline-driven secret prevention
aquasecurity/tfsec | iac,scanning,terraform | Terraform security scanning
bridgecrewio/checkov | iac,policy,scanning | Policy-as-code scanning for IaC
tenable/terrascan | iac,compliance,scanning | IaC compliance scanning
aquasecurity/kube-bench | kubernetes,cis,benchmark | CIS benchmark checks for clusters
aquasecurity/kube-hunter | kubernetes,pentest,discovery | Cluster attack surface discovery
controlplaneio/kubesec | kubernetes,manifests,risk | Score manifest security
falcosecurity/falco | runtime,detection,ebpf | Runtime threat detection
cilium/tetragon | runtime,ebpf,enforcement | eBPF observability and enforcement
kubearmor/KubeArmor | runtime,policy,enforcement | Runtime policy enforcement
open-policy-agent/opa | policy,authorization,rego | Policy decisions as data
ory/keto | authorization,zanzibar,rbac | Zanzibar-style permissions
ory/hydra | oauth2,oidc,server | OAuth2 and OIDC provider
ory/kratos | identity,auth,api | Identity management API
keycloak/keycloak | iam,sso,enterprise | The self-hosted enterprise IAM default
authelia/authelia | auth,gateway,2fa | Authentication gateway
dexidp/dex | oidc,federation,connector | OIDC federation
openid/AppAuth-Android | oauth,mobile,android | Correct OAuth on Android
openid/AppAuth-iOS | oauth,mobile,ios | Correct OAuth on iOS
panva/node-oidc-provider | oidc,node,certified | Certified OIDC provider for Node
IdentityServer/IdentityServer4 | oidc,dotnet,history | The .NET identity server lineage
prowler-cloud/prowler | cloud,audit,multicloud | Multi-cloud security assessment
aquasecurity/cloudsploit | cloud,scanning,config | Cloud configuration scanning
nccgroup/ScoutSuite | cloud,audit,multicloud | Multi-cloud auditing
Netflix/security_monkey | cloud,monitoring,history | Historical but instructive cloud posture monitoring
salesforce/policy_sentry | iam,least-privilege,aws | Generate least-privilege IAM policies
duo-labs/cloudmapper | aws,visualization,audit | Visualise AWS environments
aws-samples/aws-security-reference-architecture-examples | aws,architecture,security | AWS SRA implementations
awslabs/aws-security-hub-automated-response-and-remediation | aws,soar,automation | Automated remediation patterns
usnistgov/oscal-content | compliance,nist,catalog | NIST control catalogues in machine-readable form
CISAgov/development-guide | standards,government,practice | Public sector engineering standards
